WS_ID,Name,ISIN,Primary_MIC,Primary_Exchange,Primary_Ticker,Primary_Currency,Primary_Universe_Index,v0_39_Static_Symbol_Relation,v0_39_Diagnostic_Classification,Current_Yahoo_Symbol,Static_Candidate_Yahoo_Symbol,Proposed_Yahoo_Symbol,Provider_Listing_Type,Primary_Listing_Status,Provider_Symbol_Status,Corporate_Action_Status,Evidence_Status,Evidence_Confidence,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_Note,Evidence_AsOf_UTC,Decision,Needs_Price_Verification,Verified_Primary_Ticker,Verified_Share_Class,Research_Status
WS:XCSE:NSISB.CO,,,XCSE,,NSISb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,NSISb.CO,NSISB.CO,NSIS-B.CO,PRIMARY,VERIFIED,VERIFIED,RENAME_MERGER_REVIEWED,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.novonesis.com/en/investors/stock-information,https://uk.finance.yahoo.com/quote/NSIS-B.CO/,https://www.nasdaq.com/european-market-activity/shares/nsis-b?id=TX2376,"Novonesis IR identifies the current stock ticker NSIS B on Copenhagen; Nasdaq identifies Novonesis (Novozymes) B, ISIN DK0060336014. Yahoo has a concrete NSIS-B.CO quote page. The 2024 Novozymes/Chr. Hansen merger/name transition is reviewed; ticker, B share class, DKK currency and primary listing remain identifiable, with no unresolved collision. Source RIC-style NSISb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,NSIS B,B shares,RESEARCHED
WS:XCSE:ROCKB.CO,,,XCSE,,ROCKb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,ROCKb.CO,ROCKB.CO,ROCK-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.rockwool.com/group/about-us/investors/,https://finance.yahoo.com/quote/ROCK-B.CO/,https://www.nasdaq.com/european-market-activity/shares/rock-b?id=TX2348,"ROCKWOOL IR states the company has A and B share classes and was introduced on Nasdaq Copenhagen; Nasdaq identifies Rockwool B, ISIN DK0063855168. Yahoo has a concrete ROCK-B.CO quote page. Primary listing, B share class, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style ROCKb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,ROCK B,B shares,RESEARCHED
WS:XCSE:ZELA.CO,,,XCSE,,ZELA.CO,DKK,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,ZELA.CO,ZELA.CO,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XDUB:AIBG.I,,,XDUB,,AIBG.I,EUR,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,AIBG.I,AIBG.IR,A5G.IR,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.euronext.com/en/product/equities/IE00BF0L3536-XMSM/company-information,https://uk.finance.yahoo.com/quote/A5G.IR/,https://www.aib.ie/investorrelations/shareholder-information/annual-general-meeting,"Euronext Dublin identifies AIB Group plc common stock, ISIN IE00BF0L3536; AIB IR confirms the same ISIN for ordinary shares. Yahoo has a concrete A5G.IR quote page identifying AIB Group plc. Yahoo uses a provider alias different from the frozen RIC-style AIBG.I, but the issuer, ISIN, Dublin primary instrument and EUR ordinary share identity match. No unresolved corporate action or collision; no mapping apply.",2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,AIBG,ordinary shares,RESEARCHED
WS:XDUB:KSP.I,,,XDUB,,KSP.I,EUR,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,KSP.I,KSP.IR,KRX.IR,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.euronext.com/en/product/equities/IE0004927939-XDUB,https://uk.finance.yahoo.com/quote/KRX.IR/,https://www.kingspangroup.com/en/investors/share-price/,"Euronext Dublin identifies Kingspan Group plc common stock, ISIN IE0004927939; Kingspan IR provides the issuer share-price page. Yahoo has a concrete KRX.IR quote page identifying Kingspan Group plc. Yahoo uses a provider alias different from the frozen RIC-style KSP.I, but issuer, ISIN, Dublin primary instrument and EUR ordinary share identity match. No unresolved corporate action or collision; no mapping apply.",2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,KSP,ordinary shares,RESEARCHED
WS:XDUB:KYGA.I,,,XDUB,,KYGa.I,EUR,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,KYGa.I,KYGA.IR,KRZ.IR,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.euronext.com/en/product/equities/IE0004906560-XMSM,https://uk.finance.yahoo.com/quote/KRZ.IR/,https://www.kerry.com/investors/faq,"Euronext Dublin identifies Kerry Group plc, ISIN IE0004906560; Kerry IR states the Dublin ticker KYGa.I and distinguishes it from the London listing KYGa.L. Yahoo has a concrete KRZ.IR quote page identifying Kerry Group plc. Yahoo uses a provider alias different from the frozen RIC-style KYGa.I, but issuer, ISIN, Dublin primary instrument and EUR ordinary share identity match; London/secondary listing was explicitly excluded. No unresolved corporate action or collision; no mapping apply.",2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,KYGA,ordinary shares,RESEARCHED
WS:XETR:ADSGN.DE,,,XETR,,ADSGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,ADSGn.DE,ADSGN.DE,ADS.DE,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.deutsche-boerse.com/equity/adidas-ag/company-details,https://finance.yahoo.com/quote/ADS.DE/,https://www.adidas-group.com/en/investors,"Deutsche Börse Xetra identifies adidas AG, ISIN DE000A1EWWW0, symbol ADS and equity instrument. adidas IR confirms the issuer/share context. Yahoo Finance has a concrete ADS.DE quote page for adidas AG. The frozen source RIC-style ADSGn.DE is normalized to the official ADS ticker with the same issuer, ISIN, EUR ordinary share and Xetra primary listing; no London/secondary listing or unresolved corporate action identified. No mapping apply.",2026-09-02T20:40:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,ADS,ordinary bearer shares,RESEARCHED
WS:XETR:AG1G.DE,,,XETR,,AG1G.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AG1G.DE,AG1G.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:AIXGN.DE,,,XETR,,AIXGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,AIXGn.DE,AIXGN.DE,AIXA.DE,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.deutsche-boerse.com/equity/aixtron-se,https://uk.finance.yahoo.com/quote/AIXA.DE/,https://www.aixtron.com/en/investors/share/basic-data,"Deutsche Börse identifies AIXTRON SE Xetra equity, symbol AIXA, ISIN DE000A0WMPJ6. AIXTRON IR confirms XETRA security code AIXA, Reuters source AIXGn.DE and registered ordinary shares. Yahoo Finance has a concrete AIXA.DE quote page for AIXTRON SE. Frozen RIC-style AIXGn.DE is normalized to official Xetra AIXA; issuer/share identity and EUR primary listing match, with no unresolved corporate action or collision. No mapping apply.",2026-09-02T20:50:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,AIXA,no-par-value registered ordinary shares,RESEARCHED
WS:XETR:ALVG.DE,,,XETR,,ALVG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,ALVG.DE,ALVG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:AMV0N.DE,,,XETR,,AMV0n.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,AMV0n.DE,AMV0N.DE,AMV0.DE,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.cashmarket.deutsche-boerse.com/cash-en/Data-Tech/statistics/New-Companies/AUMOVIO-SE-4675406,https://uk.finance.yahoo.com/quote/AMV0.DE/,https://ir.aumovio.com/share,"Deutsche Börse identifies AUMOVIO SE, Xetra symbol AMV0, ISIN DE000AUM0V10 and registered shares without par value. AUMOVIO IR confirms the same ISIN, trading symbol AMV0 and share class. Yahoo Finance has a concrete AMV0.DE quote page identifying Aumovio SE. The frozen source RIC-style AMV0n.DE is normalized to the official AMV0 provider symbol for the same EUR Xetra instrument; the 2025 Continental spin-off/listing context is documented and no unresolved current corporate action or collision remains. No mapping apply.",2026-09-02T21:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,AMV0,registered no-par-value ordinary shares,RESEARCHED
WS:XETR:BASFN.DE,,,XETR,,BASFn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,BASFn.DE,BASFN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,RESEARCH_ATTEMPTED_NO_VERIFIABLE_PAIR,UNRESOLVED,,,https://www.reuters.com/markets/companies/BASFn.DE/,"Web search attempted 2026-09-02; Reuters/market references found, but no verified primary-exchange plus Yahoo pair; retained unresolved.",2026-09-02T18:50:00Z,UNRESOLVED_MANUAL,NO,,,PARTIAL
WS:XETR:BAYGN.DE,,,XETR,,BAYGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,BAYGn.DE,BAYGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,RESEARCH_ATTEMPTED_NO_VERIFIABLE_PAIR,UNRESOLVED,,,https://www.reuters.com/markets/companies/BAYGn.DE/all-listings/,"Web search attempted 2026-09-02; Reuters/market references found, but no verified primary-exchange plus Yahoo pair; retained unresolved.",2026-09-02T18:50:00Z,UNRESOLVED_MANUAL,NO,,,PARTIAL
WS:XETR:BC8G.DE,,,XETR,,BC8G.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,BC8G.DE,BC8G.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:BEIG.DE,,,XETR,,BEIG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,BEIG.DE,BEIG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:BMWG.DE,,,XETR,,BMWG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,BMWG.DE,BMWG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:BNRGN.DE,,,XETR,,BNRGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,BNRGn.DE,BNRGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:CBKG.DE,,,XETR,,CBKG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,CBKG.DE,CBKG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:CONG.DE,,,XETR,,CONG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,CONG.DE,CONG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:DB1GN.DE,,,XETR,,DB1Gn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DB1Gn.DE,DB1GN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,RESEARCH_ATTEMPTED_NO_VERIFIABLE_PAIR,UNRESOLVED,,,,Web search attempted 2026-09-02 for primary listing and Yahoo/provider pair; no sufficiently authoritative two-level match was established.,2026-09-02T18:50:00Z,UNRESOLVED_MANUAL,NO,,,PARTIAL
WS:XETR:DBKGN.DE,,,XETR,,DBKGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DBKGn.DE,DBKGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:DHLN.DE,,,XETR,,DHLn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DHLn.DE,DHLN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:DTEGN.DE,,,XETR,,DTEGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DTEGn.DE,DTEGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
